zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all,perc_sleep18,perc_sleep20,perc_sleep22,borough,neighborhood
10309,34740,31418,29024,171,55,1430,0,227,511,3322,24109,545,1364,7003,4358,1872,5119,3848,22200,8967,11792,5.4,5.1,2.8,4.0,4.9,16.1,9.0,13.7,13.3,25.8,110123,144776,34726,98.4,82.8,27.7,1.6,5.3,7.2,42.2,36.2,40.2,Staten Island,Charleston
10310,26239,18618,11118,5244,32,1379,0,55,790,7621,17364,944,1250,5075,3121,1341,3110,2523,15170,5633,9145,5.8,3.2,4.5,5.5,9.5,10.9,8.4,23.5,13.6,15.2,105523,118232,26196,95.5,67.2,36.5,4.5,9.6,13.9,45.4,39.3,44.6,Staten Island,West Brighton
10312,63473,55335,48291,478,67,5507,0,250,742,8138,43865,1199,1964,13440,6814,3273,10340,6835,40702,17175,21324,3.1,1.8,3.2,5.1,6.8,12.1,13.0,20.7,15.8,18.5,107414,133355,63467,97.7,78.7,30.0,2.3,5.2,5.8,41.5,35.6,39.4,Staten Island,Eltingville
10314,94355,79967,56909,3096,215,16986,0,464,2297,14388,66532,3529,3025,19704,10796,4710,15792,8976,59978,24768,31825,3.6,2.5,5.3,5.1,10.2,10.8,10.9,18.3,13.8,19.6,103436,128456,93522,96.6,72.1,36.7,3.4,6.6,9.5,42.4,36.5,40.9,Staten Island,Bulls Head
10451,51311,23109,2285,19097,188,713,2,144,680,28202,33532,4093,5197,8939,5990,2693,4591,2029,24242,6620,20965,13.6,12.3,15.3,9.3,12.2,12.3,9.5,7.9,4.0,3.9,34316,57674,51301,93.4,38.7,64.1,6.6,34.2,36.5,43.3,37.5,44.9,Bronx,High Bridge
10452,78624,27174,2158,22094,108,810,0,881,1123,51450,49113,7927,7074,14284,8111,4664,4937,2116,34112,7053,28260,12.0,11.7,12.2,12.6,14.6,14.8,11.1,6.7,2.9,1.6,36536,52522,78520,93.1,37.8,65.4,6.9,31.4,36.4,44.4,38.1,44.7,Bronx,Concourse
10453,80385,24767,1617,19748,43,1256,0,593,1510,55618,50570,8674,7700,14578,8471,3609,5756,1782,34196,7538,28456,15.6,12.0,11.8,10.8,12.7,14.0,9.0,9.1,3.5,1.6,34800,51195,80140,90.3,35.4,63.6,9.7,29.8,34.9,45.1,38.7,45.1,Bronx,Morris Heights
10454,41073,12219,1148,10112,102,96,342,168,251,28854,25781,5189,4954,7296,3966,1385,2323,668,15638,2991,14737,18.6,14.5,15.6,9.6,12.0,10.8,5.3,7.5,2.9,3.1,26400,47549,41017,89.8,27.8,68.9,10.2,36.7,42.1,44.5,37.9,45.3,Bronx,Mott Haven
10455,44380,11494,601,9385,12,466,0,426,604,32886,27345,4211,4555,7754,4634,2279,2844,1068,18579,3912,16254,14.1,11.9,10.4,12.7,13.7,13.9,9.6,8.5,3.9,1.4,35813,52036,44363,90.5,34.0,65.4,9.5,25.2,29.0,43.5,37.4,44.8,Bronx,Mott Haven
10456,88575,38680,2095,33828,171,577,0,377,1632,49895,55052,9112,9252,16305,8825,4557,5140,1861,36688,7001,32370,15.6,14.4,12.0,9.6,13.8,14.6,9.0,6.9,2.7,1.4,33317,48138,87527,92.7,38.6,66.6,7.3,31.3,36.2,45.6,39.6,46.1,Bronx,Morrisania
10457,79817,27665,1370,24635,81,354,1,322,902,52152,47967,7312,7339,14163,8465,3436,4929,2323,33316,7252,26163,14.6,11.9,11.9,6.9,11.2,19.3,7.6,10.7,3.6,2.2,41145,56909,79471,90.3,30.8,66.9,9.7,29.6,34.7,44.7,38.5,45.2,Bronx,Tremont
10458,82678,23749,5792,13291,234,2750,0,304,1378,58929,49281,9078,6642,13618,9552,3288,4788,2315,33561,7103,29116,9.8,12.8,11.3,8.4,14.6,19.3,11.0,8.2,3.1,1.5,41550,56212,82522,90.3,35.8,60.8,9.7,24.4,29.5,43.1,36.8,43.6,Bronx,Belmont
10459,51964,16974,980,14996,143,127,0,64,664,34990,32618,5644,4680,9233,5434,3035,3330,1262,22294,4592,17805,10.8,9.2,14.9,9.1,13.1,15.0,11.8,8.8,3.6,3.6,41270,61443,51749,92.9,36.7,66.2,7.1,24.7,30.6,43.7,37.5,44.6,Bronx,Longwood
10460,59852,20931,2291,15885,150,848,0,611,1146,38921,38400,5738,5614,11950,6541,3082,4286,1189,27048,5475,21814,12.4,14.2,13.7,11.0,11.9,12.3,9.6,9.0,3.1,2.8,33080,53823,59834,93.5,33.1,69.1,6.5,31.5,35.9,44.1,37.9,44.9,Bronx,West Farms
10461,50868,25566,14286,3893,60,6493,0,306,528,25302,36027,3472,3360,10083,5607,3758,6066,3681,29195,9747,18807,7.1,4.9,8.5,7.9,10.8,14.8,13.2,17.0,7.6,8.2,64444,88061,50056,94.5,60.7,44.8,5.5,14.1,16.8,37.9,32.2,38.9,Bronx,Morris Park
10462,77230,40796,8032,17162,339,12795,0,604,1864,36434,51876,4231,4447,15465,8278,5039,9543,4873,43198,14416,29806,8.4,4.8,8.1,8.3,8.6,20.7,13.5,17.1,5.8,4.7,63431,77474,76984,93.6,50.9,51.2,6.4,15.6,19.3,41.4,35.4,41.9,Bronx,Parkchester
10463,70296,33506,19693,8537,347,2606,0,635,1688,36790,50071,3887,4534,9617,7409,3338,10781,10505,41650,21286,29607,5.5,7.8,8.4,8.3,9.5,15.4,11.7,15.5,7.3,10.7,66780,98349,68568,95.8,62.8,47.2,4.2,14.5,19.2,36.9,31.5,37.3,Bronx,Kingsbridge
10464,4292,3052,2842,31,0,105,0,74,0,1240,3468,29,135,711,284,423,878,1008,3304,1886,1990,4.1,0.0,3.5,8.5,9.1,7.9,6.8,17.9,11.3,30.9,129109,155364,4292,93.8,79.0,39.1,6.2,0.0,4.2,33.8,29.1,33.5,Bronx,City Island
10465,46311,24643,16654,4684,5,1959,0,353,988,21668,31189,2272,2171,8392,6802,2419,5634,3499,26746,9133,16168,7.7,4.5,5.9,6.1,9.3,12.0,10.7,15.6,14.6,13.5,85946,106860,45864,96.7,73.0,38.6,3.3,9.0,13.8,36.9,31.5,37.2,Bronx,Throgs Neck
10466,72273,51056,1869,43221,225,1872,0,2190,1679,21217,48817,3544,5969,15327,8018,4120,7433,4406,39304,11839,24622,8.7,7.4,10.3,6.0,10.3,14.2,12.4,14.3,8.1,8.4,60892,86762,71764,91.0,53.4,48.4,9.0,16.8,19.8,45.3,39.6,45.7,Bronx,Wakefield
10467,98713,46446,8583,28247,517,6098,33,673,2295,52267,66270,8117,8741,19041,10968,5120,8709,5574,49412,14283,38433,11.5,8.7,10.6,9.4,12.8,16.7,11.1,11.0,5.2,3.1,46228,64960,97496,91.1,46.6,55.5,8.9,20.4,25.5,43.3,37.1,43.6,Bronx,Norwood
10468,81397,17930,2514,12714,38,1859,0,430,375,63467,52353,7373,7432,16033,9759,3876,5028,2852,37548,7880,28228,12.4,9.8,10.5,9.2,12.6,16.6,12.1,12.2,2.6,1.9,43985,57987,80507,90.8,37.8,64.5,9.2,24.0,26.4,42.4,36.4,42.6,Bronx,Fordham
10469,71862,50628,6344,37483,430,3988,10,740,1633,21234,49816,3662,5032,13811,8874,4396,8721,5320,41122,14041,23337,8.4,4.9,7.6,5.6,8.4,14.1,12.9,17.4,10.5,10.4,76731,96953,69760,95.2,60.2,45.4,4.8,13.0,15.7,42.6,37.2,42.9,Bronx,Pelham Gardens
10470,15390,11885,5965,4822,33,312,0,268,485,3505,11579,593,1044,3159,1687,638,3237,1221,9942,4458,6351,5.0,2.3,4.3,10.7,6.7,20.5,13.3,18.0,5.6,13.8,75750,100670,15361,93.9,66.1,37.8,6.1,7.3,10.7,40.1,34.6,39.8,Bronx,Woodlawn
