zcta5,total_25yo,edu_gr9,edu_gr12_nd,edu_hs,edu_col_nd,edu_asc,edu_ba,edu_grad,edu_min_hs,edu_min_ba
11516,5080,13,131,966,1092,580,928,1370,4936,2298
11518,7379,323,247,1917,1073,610,1754,1455,6809,3209
11520,31519,3161,2048,9699,5331,2848,5330,3102,26310,8432
11530,18290,225,467,2227,1502,986,6208,6675,17598,12883
11542,20794,2119,898,5014,2929,1067,5124,3643,17777,8767
11545,8453,146,136,952,1045,512,2714,2948,8171,5662
11547,422,15,18,33,96,16,165,79,389,244
11548,993,13,47,133,59,58,401,282,933,683
11549,45,0,0,9,11,0,20,5,45,25
11550,40250,6414,3371,13149,7013,2950,4427,2926,30465,7353
11552,16962,630,644,3801,2518,1527,4181,3661,15688,7842
11553,18222,2383,1620,5852,2785,1604,2072,1906,14219,3978
11554,26182,755,1269,6429,3788,2174,6628,5139,24158,11767
11556,0,0,0,0,0,0,0,0,0,0
11557,5599,51,270,619,588,300,2076,1695,5278,3771
11558,6742,140,210,2281,1504,593,1132,882,6392,2014
11559,4929,270,270,660,583,140,1734,1272,4389,3006
11560,4798,295,172,522,760,189,1487,1373,4331,2860
11561,30708,629,579,6509,4837,2101,8606,7447,29500,16053
11563,16206,732,628,3660,2502,1220,4275,3189,14846,7464
11565,6602,75,95,1005,910,446,2304,1767,6432,4071
11566,24066,358,642,4373,2922,1777,7465,6529,23066,13994
11568,2144,15,14,186,173,73,812,871,2115,1683
11569,861,11,6,127,122,88,252,255,844,507
11570,20076,536,564,2766,2358,1533,6371,5948,18976,12319
11572,21603,654,551,5678,2731,1707,5328,4954,20398,10282
11575,12046,1278,896,3987,1774,1143,2117,851,9872,2968
11576,9116,70,78,717,704,480,3119,3948,8968,7067
11577,8522,124,117,947,711,503,2877,3243,8281,6120
11579,3494,56,42,695,370,240,886,1205,3396,2091
11580,31313,1753,1499,7331,5200,3460,7999,4071,28061,12070
11581,15128,915,475,3083,2097,1092,4430,3036,13738,7466
11590,33276,2954,2059,7159,4976,2484,8358,5286,28263,13644
11596,7017,110,156,1099,1211,511,2082,1848,6751,3930
11598,8271,300,105,1112,832,218,2528,3176,7866,5704
11691,43301,4760,3978,12355,7489,3851,6112,4756,34563,10868
11692,15490,1275,1200,4416,2644,1521,2505,1929,13015,4434
11693,9683,644,747,2704,1326,806,2156,1300,8292,3456
11694,15723,735,906,3831,2615,826,3496,3314,14082,6810
