zcta5,total,nh_total,white,black,native,asian,hwpi,other,multi,hispanic
11580,43396,32915,9393,13608,0,6850,0,1595,1469,10481
11581,22770,18857,9609,3810,1,3761,0,311,1365,3913
11590,47951,31569,16162,8626,8,4646,17,1007,1103,16382
11596,10520,9669,7430,57,17,2036,0,25,104,851
11598,14531,13684,12087,695,0,297,0,54,551,847
11691,70365,52241,16825,28934,0,2865,36,1011,2570,18124
11692,24584,18461,3231,13075,0,1129,0,232,794,6123
11693,13558,10085,6200,2910,23,457,0,166,329,3473
11694,21788,18001,15628,1552,18,482,0,36,285,3787
11697,3946,3812,3698,9,0,44,0,0,61,134
11701,27874,20996,10092,9333,98,313,7,1,1152,6878
11702,14044,12920,12003,197,1,145,0,256,318,1124
11703,17414,14166,10276,2207,14,895,11,82,681,3248
11704,39753,32785,25920,5346,51,727,0,226,515,6968
11705,8409,7717,7135,136,8,132,0,113,193,692
11706,65437,39559,24934,7713,71,4028,9,975,1829,25878
11709,6763,6429,6232,24,0,18,0,0,155,334
11710,34950,31285,27485,814,13,1840,34,91,1008,3665
11713,8905,6528,4629,1473,59,160,4,38,165,2377
11714,22444,19961,16459,58,117,2749,0,65,513,2483
11715,3786,3660,3555,0,0,31,0,37,37,126
11716,10074,9020,8283,229,0,404,0,0,104,1054
11717,64969,17626,7028,8065,13,1584,69,382,485,47343
11718,3181,2943,2720,90,0,12,0,0,121,238
11719,3519,3213,2866,234,18,12,10,0,73,306
11720,29193,24408,20016,1437,17,1957,7,201,773,4785
11721,6569,6332,5601,117,0,291,0,265,58,237
11722,37032,15006,6379,6968,35,715,21,300,588,22026
11724,2874,2744,2426,0,0,84,0,74,160,130
11725,28735,26251,23869,391,0,1601,0,3,387,2484
11726,22059,11667,6659,3409,187,297,0,152,963,10392
11727,30058,24983,16891,4391,0,1717,26,188,1770,5075
11729,26608,22067,15074,2871,8,3136,0,309,669,4541
11730,14168,12184,11511,486,0,140,0,0,47,1984
11731,30714,28450,25248,674,0,1362,0,287,879,2264
11732,3546,3246,2960,96,0,14,0,0,176,300
11733,17304,16005,13449,282,0,1549,0,122,603,1299
11735,32716,28024,23514,1194,5,2527,0,112,672,4692
11738,20077,16004,12749,1185,61,1161,0,31,817,4073
11739,1400,1276,1219,0,0,38,0,0,19,124
11740,11010,9860,7955,1126,0,427,0,7,345,1150
11741,27632,23244,20789,840,0,1257,0,107,251,4388
11742,13448,11469,9727,903,50,501,0,0,288,1979
11743,41423,36433,31761,1392,0,1692,0,270,1318,4990
11746,67663,54666,41266,4293,485,5437,0,1583,1602,12997
11747,19605,18748,16926,283,0,1068,0,39,432,857
11749,3568,2205,1143,430,30,321,0,147,134,1363
11751,13501,11749,10248,433,0,741,0,28,299,1752
11752,9164,7546,6975,90,52,107,0,0,322,1618
11753,13087,12887,5935,72,0,6419,0,114,347,200
11754,18431,16895,15651,180,30,690,0,0,344,1536
11755,12227,10675,9089,282,0,1081,0,29,194,1552
11756,42459,34893,28844,526,0,4215,0,537,771,7566
11757,45082,37070,33241,1810,28,1115,0,107,769,8012
11758,54201,48715,44479,2883,0,532,28,68,725,5486
11762,22440,21470,20001,172,32,490,0,202,573,970
11763,29765,21904,17333,2989,118,671,0,214,579,7861
11764,12711,11200,10480,64,0,352,0,213,91,1511
11765,708,562,476,0,0,63,0,0,23,146
11766,11476,10640,9719,233,0,453,0,0,235,836
11767,14493,12423,10822,320,0,825,0,0,456,2070
11768,21333,20040,19383,77,0,337,0,7,236,1293
11769,9081,8680,7988,494,0,79,0,18,101,401
11770,112,65,65,0,0,0,0,0,0,47
11771,10068,8074,6799,210,0,532,0,279,254,1994
11772,45345,36090,31269,1615,30,1547,0,403,1226,9255
11776,24119,18800,16720,1161,13,461,0,128,317,5319
11777,9257,8326,7386,116,18,583,0,16,207,931
11778,12496,10764,10040,102,0,75,0,130,417,1732
11779,38654,31550,26465,1716,2,2542,0,120,705,7104
11780,15617,14116,12859,152,0,736,0,18,351,1501
11782,15113,14233,13625,79,0,208,0,34,287,880
11783,21916,20408,18719,482,29,781,0,59,338,1508
11784,25425,20555,16673,1187,25,1688,0,101,881,4870
11786,6559,5822,5413,186,0,143,0,0,80,737
11787,34408,31341,28243,285,4,1754,0,75,980,3067
11788,17017,14857,12637,216,0,1440,0,90,474,2160
11789,7434,6747,6153,143,13,200,0,0,238,687
11790,19282,17516,11900,660,0,4642,0,75,239,1766
11791,25631,24313,15305,336,23,8143,0,172,334,1318
11792,8595,7911,7499,260,23,74,0,7,48,684
11793,30865,27282,25074,350,22,1096,0,134,606,3583
11794,1425,1257,334,151,5,665,0,5,97,168
11795,25650,23010,21522,177,4,595,0,69,643,2640
11796,3843,3832,3562,62,0,117,0,12,79,11
11797,9203,8974,7162,114,0,1407,0,0,291,229
11798,18355,12624,1269,9714,7,401,0,125,1108,5731
11801,41967,34437,18893,538,8,13599,28,288,1083,7530
11803,30298,28952,22561,93,12,5683,0,138,465,1346
11804,4443,4272,3329,17,0,857,0,0,69,171
11901,32330,23278,17435,3879,28,694,0,168,1074,9052
11930,741,664,633,3,0,0,0,2,26,77
11931,0,0,0,0,0,0,0,0,0,0
11932,1032,763,570,176,0,17,0,0,0,269
11933,6975,6595,5637,589,0,179,0,26,164,380
11934,7778,6469,6107,166,0,131,0,49,16,1309
11935,2847,2693,2599,21,0,14,0,0,59,154
11937,21040,13892,12304,656,35,371,0,102,424,7148
11939,1564,1533,1499,9,0,0,0,0,25,31
11940,5462,5209,4808,128,0,135,0,32,106,253
11941,2493,2143,2033,47,0,0,0,0,63,350
11942,5620,4684,4448,41,11,110,0,51,23,936
11944,4799,4106,3736,164,6,37,0,13,150,693
11946,17517,11857,10892,167,0,397,4,32,365,5660
11947,153,153,153,0,0,0,0,0,0,0
11948,535,535,531,4,0,0,0,0,0,0
11949,13194,12063,10994,428,0,385,0,0,256,1131
11950,16379,11862,9968,996,326,137,0,13,422,4517
11951,14969,12483,10262,1243,0,258,0,20,700,2486
