zcta5,inc_total,inc_10k,inc_15k,inc_25k,inc_35k,inc_50k,inc_75k,inc_100k,inc_150k,inc_200k,inc_200kplus,inc_mean,inc_avg,ins_total_pop,ins_total,ins_private,ins_public,no_ins_total,pov_families,pov_all
12153,303,11.2,0.0,5.6,1.0,17.8,11.9,19.5,17.2,0.0,15.8,82829,109261,703,100.0,72.1,44.8,0.0,13.7,19.2
12154,1202,2.6,1.4,4.5,3.4,9.3,15.7,9.9,26.1,16.8,10.2,110833,122930,2803,97.7,84.8,25.2,2.3,3.3,6.5
12155,694,3.3,2.6,8.5,8.9,18.7,16.9,14.0,14.3,12.5,0.3,61429,73696,1748,96.9,73.9,43.9,3.1,6.7,9.7
12156,278,0.0,4.0,0.0,0.0,14.7,6.8,19.8,13.3,26.3,15.1,102167,126342,831,98.2,83.0,36.9,1.8,0.0,4.5
12157,1798,4.8,3.0,8.2,5.4,13.2,19.2,13.4,16.8,7.2,8.8,72467,99332,4505,96.3,76.1,41.5,3.7,4.8,7.3
12158,2687,0.3,1.7,3.5,8.9,12.5,10.5,20.6,18.2,10.5,13.2,89363,110138,6045,95.3,84.2,29.4,4.7,5.2,6.4
12159,3702,2.6,0.3,4.1,1.1,3.2,16.6,14.7,17.9,9.7,29.8,112031,159478,8556,98.8,90.0,32.2,1.2,0.0,2.8
12160,376,1.1,4.5,13.8,8.5,13.6,12.8,13.8,24.7,5.9,1.3,70595,74120,834,93.8,67.4,48.0,6.2,5.5,11.3
12161,18,0.0,0.0,0.0,0.0,0.0,44.4,0.0,55.6,0.0,0.0,-,N,35,100.0,100.0,0.0,0.0,0.0,0.0
12164,173,1.7,8.1,11.0,4.6,13.9,25.4,12.1,12.1,2.9,8.1,57292,82041,485,98.6,72.6,50.7,1.4,14.7,15.5
12165,105,0.0,10.5,0.0,0.0,34.3,13.3,16.2,4.8,3.8,17.1,61719,91220,198,98.5,66.7,58.1,1.5,0.0,4.0
12166,583,1.0,2.2,6.3,7.9,15.3,17.8,17.2,22.3,8.2,1.7,72297,80863,1505,89.9,63.5,40.3,10.1,2.9,7.8
12167,1034,5.9,6.7,11.7,5.8,13.2,16.2,18.3,14.1,6.4,1.7,57386,68582,2313,95.2,61.4,50.4,4.8,14.9,18.3
12168,696,5.0,0.0,3.7,3.4,5.6,15.2,31.6,15.4,4.7,15.2,92644,111023,1749,89.1,66.8,41.5,10.9,3.2,3.0
12169,192,0.0,0.0,13.0,0.0,65.6,0.0,0.0,13.0,3.1,5.2,38979,64447,379,98.4,54.4,58.3,1.6,0.0,0.0
12170,2107,5.9,4.8,4.3,2.5,3.0,17.0,17.4,18.3,16.4,10.3,97975,110850,5225,97.2,80.5,31.3,2.8,9.4,11.8
12172,63,0.0,0.0,0.0,0.0,17.5,50.8,28.6,0.0,3.2,0.0,58403,65141,211,100.0,60.7,39.3,0.0,22.2,18.5
12173,729,1.5,6.2,2.3,5.1,7.1,26.6,20.0,19.8,7.8,3.6,77725,86905,2038,96.5,82.6,25.3,3.5,6.7,7.9
12174,215,0.0,8.4,2.3,7.0,40.9,0.0,10.7,18.1,10.7,1.9,-,77079,588,100.0,85.0,62.1,0.0,2.7,4.8
12175,279,0.0,1.4,5.4,0.7,6.8,16.8,35.8,19.4,12.2,1.4,83734,90153,700,99.3,85.7,45.0,0.7,2.2,3.4
12176,160,0.0,0.0,31.3,3.8,15.0,25.6,19.4,5.0,0.0,0.0,50000,52013,366,100.0,62.8,72.1,0.0,0.0,0.0
12177,165,0.0,0.0,0.0,0.0,9.1,4.2,51.5,9.7,9.7,15.8,87224,115717,455,78.9,71.6,10.3,21.1,0.0,0.0
12180,22006,5.5,4.4,8.3,8.8,11.1,15.6,12.9,17.3,9.3,6.9,68766,89619,52939,96.6,70.0,39.5,3.4,11.6,17.4
